dateTime,value
8/2/2010 12:00,92.5
8/3/2010 3:00,92.2
8/3/2010 12:00,92.6
8/4/2010 3:00,92.2
8/4/2010 12:00,95.4
8/5/2010 3:00,86.9
8/5/2010 12:00,95.6
8/6/2010 3:00,83.8
8/6/2010 12:00,93.9
8/7/2010 3:00,87.9
8/7/2010 12:00,97
8/8/2010 3:00,89.6
8/8/2010 12:00,92.5
8/9/2010 3:00,92.2
8/9/2010 12:00,92.5
8/10/2010 3:00,100
8/10/2010 12:00,100
8/11/2010 3:00,95.5
8/11/2010 12:00,100
8/12/2010 3:00,93.7
8/12/2010 12:00,92.6
8/13/2010 3:00,92
8/13/2010 12:00,100
8/14/2010 3:00,87.7
8/14/2010 12:00,92.5
8/15/2010 3:00,93.7
8/15/2010 12:00,92.3
8/16/2010 3:00,92.2
8/16/2010 12:00,92.2
8/17/2010 3:00,95.1
8/17/2010 12:00,93.8
8/18/2010 3:00,100
8/18/2010 12:00,96.7
8/19/2010 3:00,96.7
8/19/2010 12:00,92.2
8/20/2010 3:00,92.1
8/20/2010 12:00,100
8/21/2010 3:00,95.1
8/21/2010 12:00,96.8
8/22/2010 3:00,98.3
8/22/2010 12:00,100
8/23/2010 3:00,94.9
8/23/2010 12:00,100
8/24/2010 3:00,98.3
8/24/2010 12:00,92.2
8/25/2010 3:00,92.3
8/25/2010 12:00,96.8
8/26/2010 3:00,98.4
8/26/2010 12:00,97
8/27/2010 3:00,96.6
8/27/2010 12:00,95.2
8/28/2010 3:00,92
8/28/2010 12:00,93.6
8/29/2010 3:00,92.2
8/29/2010 12:00,100
8/30/2010 3:00,92.3
8/30/2010 12:00,85.3
8/31/2010 3:00,95.3
8/31/2010 12:00,92.3
9/1/2010 3:00,92.1
9/1/2010 12:00,97
9/2/2010 3:00,90.9
9/2/2010 12:00,96.8
9/3/2010 3:00,86.5
9/3/2010 12:00,92.5
9/4/2010 3:00,95.1
9/4/2010 12:00,100
9/5/2010 3:00,98.3
9/5/2010 12:00,92.5
9/6/2010 3:00,90.6
9/6/2010 12:00,95.4
9/7/2010 3:00,93.4
9/7/2010 12:00,92.3
9/8/2010 3:00,87.8
9/8/2010 12:00,92.5
9/9/2010 3:00,87.8
9/9/2010 12:00,92.5
9/10/2010 3:00,93.6
9/10/2010 12:00,92.2
9/11/2010 3:00,93.4
9/11/2010 12:00,91.8
9/12/2010 3:00,90.2
9/12/2010 12:00,96.8
9/13/2010 3:00,81.9
9/13/2010 12:00,92.2
9/14/2010 3:00,93.6
9/14/2010 12:00,98.4
9/15/2010 3:00,91.9
9/15/2010 12:00,96.8
9/16/2010 3:00,93.3
9/16/2010 12:00,93.8
9/17/2010 3:00,93.6
9/17/2010 12:00,95.4
9/18/2010 3:00,90.5
9/18/2010 12:00,89.4
9/19/2010 3:00,87.7
9/19/2010 12:00,93.6
9/20/2010 3:00,96.6
9/20/2010 12:00,92.3
9/21/2010 3:00,96.7
9/21/2010 12:00,98.3
9/22/2010 3:00,96.6
9/22/2010 12:00,93.6
9/23/2010 3:00,86.1
9/23/2010 12:00,92.2
9/24/2010 3:00,92.2
9/24/2010 12:00,100
9/25/2010 3:00,91.8
9/25/2010 12:00,92
9/26/2010 3:00,90.4
9/26/2010 12:00,100
9/27/2010 3:00,88.7
9/27/2010 12:00,84.6
9/28/2010 3:00,85.4
9/28/2010 12:00,92.2
9/29/2010 3:00,91.6
9/29/2010 12:00,93.7
9/30/2010 3:00,83.2
9/30/2010 12:00,92.5
10/1/2010 3:00,98.4
10/1/2010 12:00,92.5
10/2/2010 3:00,89.1
10/2/2010 12:00,92.5
10/3/2010 3:00,89.1
10/3/2010 12:00,91.1
10/4/2010 3:00,90.6
10/4/2010 12:00,98.5
10/5/2010 3:00,81.7
10/5/2010 12:00,100
10/6/2010 3:00,91.8
10/6/2010 12:00,96.8
10/7/2010 3:00,79.7
10/7/2010 12:00,92
10/8/2010 3:00,91.4
10/8/2010 12:00,95.7
10/9/2010 3:00,84.7
10/9/2010 12:00,91.6
10/10/2010 3:00,91.3
10/10/2010 12:00,96.6
10/11/2010 3:00,92.9
10/11/2010 12:00,91.8
10/12/2010 3:00,83.7
10/12/2010 12:00,90.7
10/13/2010 3:00,83.1
10/13/2010 12:00,92.3
10/14/2010 3:00,87.2
10/14/2010 12:00,87.2
10/15/2010 3:00,86.1
10/15/2010 12:00,92.2
10/16/2010 3:00,90
10/16/2010 12:00,89
10/17/2010 3:00,96.5
10/17/2010 12:00,91.4
10/18/2010 3:00,82.7
10/18/2010 12:00,98.4
10/19/2010 3:00,82
10/19/2010 12:00,92.6
10/20/2010 3:00,96.8
10/20/2010 12:00,91
10/21/2010 3:00,81.9
10/21/2010 12:00,91.8
10/22/2010 3:00,91.6
10/22/2010 12:00,91.9
10/23/2010 3:00,81.2
10/23/2010 12:00,96.9
10/24/2010 3:00,90.3
10/24/2010 12:00,95.3
10/25/2010 3:00,85.7
10/25/2010 12:00,96.8
